facility_name,barcode,name,start_datetime,end_datetime,num_people,num_waitlist,has_reg_early_started,has_reg_ended,has_reg_priority_started,has_reg_return_started,has_reg_started
Badminton Court 5,390079,Badminton Court 5 - Sunday  Feb 09 - 8:00 AM,2025-02-09 05:00:00,2025-02-09 06:00:00,1,0,True,False,True,True,True
Badminton Court 6,390080,Badminton Court 6 - Sunday  Feb 09 - 8:00 AM,2025-02-09 05:00:00,2025-02-09 06:00:00,1,0,True,False,True,True,True
Badminton Court 1,390081,Badminton Court 1 - Sunday  Feb 09 - 9:00 AM,2025-02-09 06:00:00,2025-02-09 07:00:00,1,0,True,False,True,True,True
Badminton Court 2,390082,Badminton Court 2 - Sunday  Feb 09 - 9:00 AM,2025-02-09 06:00:00,2025-02-09 07:00:00,1,0,True,False,True,True,True
Badminton Court 3,390083,Badminton Court 3 - Sunday  Feb 09 - 9:00 AM,2025-02-09 06:00:00,2025-02-09 07:00:00,1,0,True,False,True,True,True
Badminton Court 4,390084,Badminton Court 4 - Sunday  Feb 09 - 9:00 AM,2025-02-09 06:00:00,2025-02-09 07:00:00,1,0,True,False,True,True,True
Badminton Court 5,390085,Badminton Court 5 - Sunday  Feb 09 - 9:00 AM,2025-02-09 06:00:00,2025-02-09 07:00:00,1,0,True,False,True,True,True
Badminton Court 6,390086,Badminton Court 6 - Sunday  Feb 09 - 9:00 AM,2025-02-09 06:00:00,2025-02-09 07:00:00,1,0,True,False,True,True,True
Badminton Court 1,390087,Badminton Court 1 - Sunday  Feb 09 - 10:00 AM,2025-02-09 07:00:00,2025-02-09 08:00:00,1,0,True,False,True,True,True
Badminton Court 2,390088,Badminton Court 2 - Sunday  Feb 09 - 10:00 AM,2025-02-09 07:00:00,2025-02-09 08:00:00,1,0,True,False,True,True,True
Badminton Court 3,390089,Badminton Court 3 - Sunday  Feb 09 - 10:00 AM,2025-02-09 07:00:00,2025-02-09 08:00:00,1,0,True,False,True,True,True
Badminton Court 4,390090,Badminton Court 4 - Sunday  Feb 09 - 10:00 AM,2025-02-09 07:00:00,2025-02-09 08:00:00,1,0,True,False,True,True,True
Badminton Court 5,390091,Badminton Court 5 - Sunday  Feb 09 - 10:00 AM,2025-02-09 07:00:00,2025-02-09 08:00:00,1,0,True,False,True,True,True
Badminton Court 6,390092,Badminton Court 6 - Sunday  Feb 09 - 10:00 AM,2025-02-09 07:00:00,2025-02-09 08:00:00,1,0,True,False,True,True,True
Badminton Court 1,390105,Badminton Court 1 - Sunday  Feb 09 - 1:00 PM,2025-02-09 10:00:00,2025-02-09 11:00:00,1,0,True,False,True,True,True
Badminton Court 2,390106,Badminton Court 2 - Sunday  Feb 09 - 1:00 PM,2025-02-09 10:00:00,2025-02-09 11:00:00,1,0,True,False,True,True,True
Badminton Court 3,390107,Badminton Court 3 - Sunday  Feb 09 - 1:00 PM,2025-02-09 10:00:00,2025-02-09 11:00:00,1,0,True,False,True,True,True
Badminton Court 4,390108,Badminton Court 4 - Sunday  Feb 09 - 1:00 PM,2025-02-09 10:00:00,2025-02-09 11:00:00,1,0,True,False,True,True,True
Badminton Court 5,390109,Badminton Court 5 - Sunday  Feb 09 - 1:00 PM,2025-02-09 10:00:00,2025-02-09 11:00:00,1,0,True,False,True,True,True
Badminton Court 6,390110,Badminton Court 6 - Sunday  Feb 09 - 1:00 PM,2025-02-09 10:00:00,2025-02-09 11:00:00,1,0,True,False,True,True,True
Badminton Court 1,390111,Badminton Court 1 - Sunday  Feb 09 - 2:00 PM,2025-02-09 11:00:00,2025-02-09 12:00:00,1,0,True,False,True,True,True
Badminton Court 2,390112,Badminton Court 2 - Sunday  Feb 09 - 2:00 PM,2025-02-09 11:00:00,2025-02-09 12:00:00,1,0,True,False,True,True,True
Badminton Court 3,390113,Badminton Court 3 - Sunday  Feb 09 - 2:00 PM,2025-02-09 11:00:00,2025-02-09 12:00:00,1,0,True,False,True,True,True
Badminton Court 4,390114,Badminton Court 4 - Sunday  Feb 09 - 2:00 PM,2025-02-09 11:00:00,2025-02-09 12:00:00,1,0,True,False,True,True,True
Badminton Court 5,390115,Badminton Court 5 - Sunday  Feb 09 - 2:00 PM,2025-02-09 11:00:00,2025-02-09 12:00:00,1,0,True,False,True,True,True
Badminton Court 6,390116,Badminton Court 6 - Sunday  Feb 09 - 2:00 PM,2025-02-09 11:00:00,2025-02-09 12:00:00,1,0,True,False,True,True,True
Badminton Court 2,390118,Badminton Court 2 - Sunday  Feb 09 - 3:00 PM,2025-02-09 12:00:00,2025-02-09 13:00:00,1,0,True,False,True,True,True
Badminton Court 3,390119,Badminton Court 3 - Sunday  Feb 09 - 3:00 PM,2025-02-09 12:00:00,2025-02-09 13:00:00,1,0,True,False,True,True,True
Badminton Court 4,390120,Badminton Court 4 - Sunday  Feb 09 - 3:00 PM,2025-02-09 12:00:00,2025-02-09 13:00:00,1,0,True,False,True,True,True
Badminton Court 5,390121,Badminton Court 5 - Sunday  Feb 09 - 3:00 PM,2025-02-09 12:00:00,2025-02-09 13:00:00,1,0,True,False,True,True,True
Badminton Court 6,390122,Badminton Court 6 - Sunday  Feb 09 - 3:00 PM,2025-02-09 12:00:00,2025-02-09 13:00:00,1,0,True,False,True,True,True
Badminton Court 2,390124,Badminton Court 2 - Sunday  Feb 09 - 4:00 PM,2025-02-09 13:00:00,2025-02-09 14:00:00,1,0,True,False,True,True,True
Badminton Court 3,390125,Badminton Court 3 - Sunday  Feb 09 - 4:00 PM,2025-02-09 13:00:00,2025-02-09 14:00:00,1,0,True,False,True,True,True
Badminton Court 4,390126,Badminton Court 4 - Sunday  Feb 09 - 4:00 PM,2025-02-09 13:00:00,2025-02-09 14:00:00,1,0,True,False,True,True,True
Badminton Court 5,390127,Badminton Court 5 - Sunday  Feb 09 - 4:00 PM,2025-02-09 13:00:00,2025-02-09 14:00:00,1,0,True,False,True,True,True
Badminton Court 6,390128,Badminton Court 6 - Sunday  Feb 09 - 4:00 PM,2025-02-09 13:00:00,2025-02-09 14:00:00,1,0,True,False,True,True,True
Badminton Court 2,390130,Badminton Court 2 - Sunday  Feb 09 - 5:00 PM,2025-02-09 14:00:00,2025-02-09 15:00:00,1,0,True,False,True,True,True
Badminton Court 3,390131,Badminton Court 3 - Sunday  Feb 09 - 5:00 PM,2025-02-09 14:00:00,2025-02-09 15:00:00,1,0,True,False,True,True,True
Badminton Court 4,390132,Badminton Court 4 - Sunday  Feb 09 - 5:00 PM,2025-02-09 14:00:00,2025-02-09 15:00:00,1,0,True,False,True,True,True
Badminton Court 5,390133,Badminton Court 5 - Sunday  Feb 09 - 5:00 PM,2025-02-09 14:00:00,2025-02-09 15:00:00,1,0,True,False,True,True,True
Badminton Court 6,390134,Badminton Court 6 - Sunday  Feb 09 - 5:00 PM,2025-02-09 14:00:00,2025-02-09 15:00:00,1,0,True,False,True,True,True
Badminton Court 2,390136,Badminton Court 2 - Sunday  Feb 09 - 6:00 PM,2025-02-09 15:00:00,2025-02-09 16:00:00,1,0,True,False,True,True,True
Badminton Court 3,390137,Badminton Court 3 - Sunday  Feb 09 - 6:00 PM,2025-02-09 15:00:00,2025-02-09 16:00:00,1,0,True,False,True,True,True
Badminton Court 4,390138,Badminton Court 4 - Sunday  Feb 09 - 6:00 PM,2025-02-09 15:00:00,2025-02-09 16:00:00,1,0,True,False,True,True,True
Badminton Court 5,390139,Badminton Court 5 - Sunday  Feb 09 - 6:00 PM,2025-02-09 15:00:00,2025-02-09 16:00:00,1,0,True,False,True,True,True
Badminton Court 6,390140,Badminton Court 6 - Sunday  Feb 09 - 6:00 PM,2025-02-09 15:00:00,2025-02-09 16:00:00,1,0,True,False,True,True,True
Badminton Court 1,390141,Badminton Court 1 - Sunday  Feb 09 - 7:00 PM,2025-02-09 16:00:00,2025-02-09 17:00:00,1,0,True,False,True,True,True
Badminton Court 2,390142,Badminton Court 2 - Sunday  Feb 09 - 7:00 PM,2025-02-09 16:00:00,2025-02-09 17:00:00,1,0,True,False,True,True,True
Badminton Court 3,390143,Badminton Court 3 - Sunday  Feb 09 - 7:00 PM,2025-02-09 16:00:00,2025-02-09 17:00:00,1,0,True,False,True,True,True
Badminton Court 4,390144,Badminton Court 4 - Sunday  Feb 09 - 7:00 PM,2025-02-09 16:00:00,2025-02-09 17:00:00,1,0,True,False,True,True,True
Badminton Court 5,390145,Badminton Court 5 - Sunday  Feb 09 - 7:00 PM,2025-02-09 16:00:00,2025-02-09 17:00:00,1,0,True,False,True,True,True
Badminton Court 6,390146,Badminton Court 6 - Sunday  Feb 09 - 7:00 PM,2025-02-09 16:00:00,2025-02-09 17:00:00,1,0,True,False,True,True,True
Badminton Court 1,390147,Badminton Court 1 - Sunday  Feb 09 - 8:00 PM,2025-02-09 17:00:00,2025-02-09 18:00:00,1,0,True,False,True,True,True
Badminton Court 2,390148,Badminton Court 2 - Sunday  Feb 09 - 8:00 PM,2025-02-09 17:00:00,2025-02-09 18:00:00,1,0,True,False,True,True,True
Badminton Court 3,390149,Badminton Court 3 - Sunday  Feb 09 - 8:00 PM,2025-02-09 17:00:00,2025-02-09 18:00:00,1,0,True,False,True,True,True
Badminton Court 4,390150,Badminton Court 4 - Sunday  Feb 09 - 8:00 PM,2025-02-09 17:00:00,2025-02-09 18:00:00,1,0,True,False,True,True,True
